epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,138.586,1.6147,0.99778,1,0.02043,0.000107525,0.000107525,0.000107525
2,271.832,0.14229,0.99926,1,0.00473,0.000184757,0.000184757,0.000184757
3,394.908,0.10254,1,1,0.00207,0.000231536,0.000231536,0.000231536
4,516.495,0.08366,0.99963,1,0.00266,0.000185956,0.000185956,0.000185956
5,639.664,0.06364,1,1,0.00091,0.000140274,0.000140274,0.000140274
6,725.841,0.0538,1,1,0.00051,9.45929e-05,9.45929e-05,9.45929e-05
