epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,78.9096,1.62711,0.99778,1,0.02018,0.000107525,0.000107525,0.000107525
2,150.781,0.14402,0.99963,1,0.00559,0.000184757,0.000184757,0.000184757
3,215.3,0.10325,1,1,0.00211,0.000231536,0.000231536,0.000231536
4,279.863,0.08629,0.99852,0.99926,0.00703,0.000185956,0.000185956,0.000185956
5,344.925,0.06483,1,1,0.00089,0.000140274,0.000140274,0.000140274
6,409.22,0.05402,1,1,0.00053,9.45929e-05,9.45929e-05,9.45929e-05
