epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,74.4334,1.64103,0.99815,1,0.02044,0.000107525,0.000107525,0.000107525
2,142.417,0.1463,0.99963,1,0.00542,0.000184757,0.000184757,0.000184757
3,208.827,0.10675,0.99963,1,0.00332,0.000231536,0.000231536,0.000231536
4,272.513,0.08857,0.99963,1,0.00238,0.000185956,0.000185956,0.000185956
5,336.131,0.06436,1,1,0.00131,0.000140274,0.000140274,0.000140274
6,399.519,0.05672,1,1,0.00054,9.45929e-05,9.45929e-05,9.45929e-05
7,467.895,0.04654,1,1,0.00063,4.89114e-05,4.89114e-05,4.89114e-05
