epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,76.5774,1.66512,0.99778,0.99963,0.01996,0.000107525,0.000107525,0.000107525
2,149.585,0.1519,1,1,0.00502,0.000184757,0.000184757,0.000184757
3,216.318,0.1126,0.99926,1,0.0048,0.000231536,0.000231536,0.000231536
4,282.971,0.08986,0.99926,1,0.00301,0.000185956,0.000185956,0.000185956
5,347.989,0.06693,1,1,0.00085,0.000140274,0.000140274,0.000140274
